Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
AH9.3; -0.208498724507,B0001.4; -0.0584784123371,B0001.2; 1.17148660223
B0001.3; -0.619854666061,B0001.6; 0.0901229239956,B0024.10; 0.239887194548
B0001.5; -0.475478750456,B0001.7; -0.134085625781,B0035.12; 0.999266231121
B0205.1; -0.708674898034,B0001.8; 0.0231391924851,B0035.15; 0.571751935765
B0205.6; -1.54030065417,B0019.2; 0.0800193470633,B0035.16; 0.316533991023
B0212.3; -1.37927240627,B0024.11; 0.00135921533376,B0035.18; 1.21548515224
B0228.6; -1.02170767238,B0024.13; 0.0125208272856,B0035.6; 0.259126693733
B0238.15; -1.05341406567,B0025.4; -0.183714396238,B0238.10; 0.390200978388
B0261.1; -0.474744573985,B0035.11; -0.0322518962738,B0238.11; 0.380056202886
B0281.5; -1.02279658042,B0035.1; 0.17663244504,B0261.4; 0.426734207309
B0285.4; -0.465734909197,B0035.3; 0.00913831492438,B0261.7; 0.46126031923
B0303.3; -0.478471437219,B0041.5; -0.00399842397867,B0272.3; 0.254545371298
B0303.4; -0.308165094158,B0041.8; 0.0333213760881,B0280.9; 0.262457155118
B0334.15; -0.541770848453,B0205.11; -0.0229161602731,B0303.15; 0.393157936774
B0336.3; -0.577151636497,B0205.8; 0.116717114515,B0304.2; 1.23320986402
B0336.7; -0.660457022494,B0205.9; -0.00394563255968,B0334.3; 0.304125229937
B0393.6; -0.202610308642,B0207.6; 0.0990721919293,B0334.4; 0.221088166827
B0412.3; -0.318951215159,B0238.9; 0.0800356485401,B0334.5; 2.20056390122
B0416.4; -0.858750393218,B0250.5; 0.145680620288,B0361.6; 0.246822420553
B0416.5; -0.523383185501,B0285.3; 0.175043350494,B0361.9; 0.200207354318
B0432.13; -1.12917389711,B0303.7; -0.0305811554605,B0432.10; 0.698908268058
B0464.2; -0.325305552693,B0304.4; -0.0520025505179,B0432.8; 1.26510664869
B0464.6; -0.526010300454,B0336.13; -0.0264112495286,B0454.9; 1.06454945852
B0495.5; -0.628515176239,B0336.5; 0.056675543289,B0495.6; 1.66590269603
B0495.7; -2.18103239103,B0361.2; -0.114503276837,B0495.8; 0.313785248954
B0507.2; -1.03173693875,B0361.3; 0.0538041592873,B0511.7; 0.620917567772
B0564.11; -0.816983209846,B0361.8; 0.00161931387053,B0513.2; 0.862852500895
C01A2.3; -1.71488130512,B0365.1; 0.0887550101706,B0546.2; 0.328511757753
C01B10.9; -0.589050667179,B0393.3; 0.199470680592,B0546.4; 0.554061059829
C01F1.1; -0.411177650752,B0395.3; -0.0794379174975,B0564.7; 0.462346359106
C01G6.3; -0.54368798926,B0464.9; 0.0182054690149,C01B12.8; 0.512557357284
C01G6.5; -0.317363783484,B0491.5; 0.0607066467898,C01F1.6; 0.348769081646
C01H6.9; -1.15871047769,B0491.6; -0.0701417552322,C01F6.9; 0.81167428282
C02B8.6; -0.645634314501,B0495.2; -0.192756842925,C01G5.6; 0.26956479942
C02D5.4; -0.235140213293,B0495.9; 0.168811701167,C01G8.1; 0.301397574529
C02F5.13; -0.647475002304,B0511.12; -0.0539555668046,C02B10.2; 0.578063407876
