Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
B0001.5; -1.85066328027,AH9.3; -0.152979605795,B0001.2; 0.995914683163
B0001.6; -0.50043225405,B0035.12; 0.151033157974,B0001.4; 0.500070146555
B0001.7; -0.506814923516,B0035.15; -0.179762937585,B0019.2; 1.70634313637
B0001.8; -0.742819233773,B0035.3; -0.131118020962,B0024.10; 0.333999833079
B0024.11; -0.650240201156,B0035.6; -0.190496805044,B0025.4; 0.883278493661
B0024.13; -0.239415392643,B0041.5; -0.16649254984,B0035.18; 1.14156910053
B0035.11; -0.30181199795,B0041.8; -0.0961468836596,B0041.3; 1.15880212743
B0035.1; -0.475869695881,B0205.6; 0.117706720077,B0205.1; 0.865267560057
B0205.11; -0.669812785333,B0205.9; 0.0185978300755,B0205.8; 0.351664005754
B0280.9; -1.01117700429,B0238.11; -0.0850079413506,B0207.6; 1.15500139399
B0281.5; -0.905572716909,B0261.1; 0.0699772707093,B0228.6; 0.773014740662
B0285.4; -0.383053514053,B0272.3; 0.145216282053,B0238.10; 0.544330649629
B0303.3; -0.650743422705,B0304.4; -0.153193940408,B0238.9; 0.496895375533
B0303.4; -0.210720747217,B0334.4; 0.0683161461456,B0250.5; 0.217204659245
B0310.2; -1.31174120934,B0336.13; 0.151728181661,B0261.4; 0.7196556328
B0334.15; -0.299788295257,B0336.3; 0.0381966198515,B0261.7; 0.393725295075
B0334.3; -0.308386852015,B0336.5; 0.0129121761312,B0285.3; 0.222596403027
B0361.3; -0.311765277187,B0361.2; -0.0838682950192,B0303.15; 0.602156475735
B0412.3; -0.7875099896,B0361.8; 0.150875592599,B0303.7; 0.839220846927
B0432.10; -0.219646286535,B0361.9; -0.0793202013171,B0304.2; 0.639911986694
B0432.8; -2.0059612997,B0393.3; -0.156269791194,B0334.5; 2.79257971422
B0464.2; -0.549601512712,B0416.4; -0.157455362925,B0336.7; 0.32517995949
B0491.6; -0.59845665759,B0416.5; -0.0509168187187,B0361.6; 0.277581313516
B0495.2; -0.531237428484,B0432.13; -0.0512679240027,B0393.6; 0.422001085486
B0495.5; -3.12577355673,B0495.8; -0.0120523234383,B0395.3; 0.307615863247
B0495.7; -0.58172492284,B0511.13; 0.112788529971,B0464.6; 0.389603089588
B0495.9; -0.573857511189,B0546.4; 0.184200695876,B0464.9; 0.991139689829
B0511.7; -0.820950064335,C01A2.4; 0.106774158302,B0491.5; 0.464326651234
B0564.11; -1.18175856536,C01A2.5; -0.0398629255477,B0495.6; 0.948321954177
C01A2.3; -0.450651384699,C01G10.8; -0.0160725418719,B0511.12; 1.02012856384
C01B10.9; -0.448720390201,C01G6.3; -0.134097190115,B0511.6; 0.282924591644
C01B12.2; -1.32755858541,C01G6.4; -0.0291275783311,B0513.2; 0.550951264787
C01G10.10; -0.736960848313,C02F5.13; -0.138576544141,B0546.2; 0.232514355699
C01G10.7; -0.856222904899,C04B4.2; 0.0476194944345,B0564.7; 0.886672375462
