Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
B0001.4; -0.751931312089,B0024.13; 0.143672017011,B0001.2; 0.64406329261
B0001.6; -2.80991402281,B0041.5; -0.11349858606,B0001.8; 0.406619718103
B0001.7; -0.235976773885,B0041.8; 0.150821209559,B0019.2; 1.23035591502
B0024.10; -1.30629001648,B0238.11; -0.178168566474,B0035.11; 1.45612264619
B0024.11; -0.594963161061,B0250.5; 0.107903663076,B0035.12; 2.2568267105
B0025.4; -0.435827597124,B0303.15; 0.164218613012,B0035.15; 0.58013518169
B0205.11; -2.16791796529,B0361.3; 0.1243448969,B0035.16; 0.89826416743
B0205.1; -1.12963508951,B0393.3; -0.0970141012249,B0035.18; 1.79806170492
B0205.6; -5.93503519825,B0464.6; 0.094876487196,B0035.1; 0.848718100617
B0205.8; -2.02297733051,B0495.8; 0.091702887362,B0035.3; 1.01583714005
B0205.9; -1.19568405637,B0511.12; -0.198933922162,B0035.6; 0.317751725463
B0261.1; -1.1464696199,B0511.13; -0.0226369282225,B0207.6; 0.416087248403
B0261.4; -0.355140070108,B0511.6; -0.0577856814983,B0238.10; 0.787490765627
B0281.5; -3.36180171072,C01B10.8; 0.0754006155571,B0238.9; 1.30021852802
B0285.3; -0.464866226479,C02F5.6; -0.159533352685,B0261.7; 1.28112632227
B0303.14; -7.10215305649,C03A3.2; -0.0266065487381,B0272.3; 1.67041187858
B0303.3; -2.7148549393,C04C3.3; -0.0284211550459,B0280.9; 0.968875854264
B0303.4; -0.613779018544,C05C8.2; -0.0258387877481,B0285.4; 0.293606607306
B0304.4; -7.69366451842,C05D11.10; -0.0359542338857,B0304.2; 0.82439610618
B0361.6; -0.77010514113,C06G4.1; -0.121897116567,B0334.4; 0.651942366656
B0416.5; -1.60145016861,C08B6.7; 0.13163093732,B0334.5; 1.66068546319
B0491.5; -0.750451936337,C08F8.3; -0.0829736126275,B0336.13; 0.517495652742
B0495.2; -0.475485189922,C08H9.16; 0.042677065263,B0336.3; 1.04461297002
B0495.7; -3.29175493294,C10G11.7; 0.0466459600057,B0336.5; 0.663080053996
B0495.9; -1.11221747462,C11D2.4; -0.0390640698152,B0361.2; 0.405688422632
B0511.7; -1.13425488816,C12D8.1; 0.167421036865,B0361.8; 0.274930272359
