Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
B0001.2; -1.23948445442,B0035.18; -0.0595182038056,B0001.7; 3.76593354834
B0001.4; -0.573497685738,B0035.1; -0.0991449336906,B0024.11; 1.32973871597
B0001.8; -2.55349304469,B0207.6; 0.120546937217,B0024.13; 1.06265467153
B0019.2; -2.80715480966,B0238.9; -0.0297284526822,B0025.4; 3.00590312504
B0205.12; -8.67634219434,B0334.17; -0.121280538694,B0035.11; 1.25347719095
B0205.1; -1.08421536168,B0491.5; -0.034010160816,B0035.12; 2.42002406003
B0205.8; -2.73166046842,C01G8.1; -0.0579084287804,B0035.3; 0.385110793102
B0261.1; -0.963926010217,C02B10.4; -0.194382171077,B0035.6; 1.57625190783
B0261.7; -0.343704440002,C02F5.3; 0.148931255933,B0041.5; 3.63037868378
B0285.3; -2.29162786882,C04F12.1; 0.155232961931,B0041.8; 0.651704931772
B0285.4; -0.208292787998,C05C8.2; -0.180520031872,B0205.11; 0.360547165149
B0303.7; -0.381751307454,C07H6.10; 0.0722567145182,B0205.9; 4.01314112852
B0304.2; -2.65003697829,C08B6.8; -0.184342895293,B0228.6; 6.73173801413
B0334.4; -0.877424886885,C09E9.1; 0.15891481507,B0238.10; 5.96430180727
B0336.13; -1.75175292685,C11D2.4; -0.0526364484612,B0238.11; 0.86404725765
B0361.2; -3.15319530385,C13G5.2; -0.161190740866,B0250.5; 3.15882276335
B0361.3; -3.21792239244,C16A3.10; 0.191046889844,B0272.3; 3.49228466816
B0361.6; -1.0732110789,C16A3.4; -0.0948259356388,B0280.9; 1.92439678421
B0432.13; -3.11988503565,C16C10.1; -0.0352593691182,B0303.15; 0.474194141158
B0464.6; -1.04735974721,C17H12.13; -0.00536379726402,B0303.3; 0.938043673055
B0464.9; -3.5820992787,C18E9.2; 0.0389547022673,B0303.4; 1.05977899588
B0495.6; -0.672544000783,C25A1.13; 0.0161395822725,B0334.5; 0.650533958666
B0495.8; -3.33146732231,C25A1.16; -0.0415722751669,B0336.3; 2.25370298837
B0495.9; -0.247779853277,C27F2.8; 0.144985973719,B0336.5; 0.530788854351
B0511.6; -1.17937423974,C30H7.2; 0.0186599856513,B0361.8; 0.83637856582
B0513.2; -1.98288670421,C32A3.3; 0.0654723916387,B0393.3; 0.392398378464
B0546.2; -1.605144536,C34B2.6; 0.161422395513,B0393.6; 0.420759378286
C01A2.4; -2.18756588238,C37E2.1; -0.111781018383,B0395.3; 7.39683740725
C01B10.8; -0.831749550428,C41H7.6; 0.188625409786,B0416.4; 2.3394535763
C01B10.9; -2.01503484357,C43E11.9; 0.15216753514,B0416.5; 1.34530366149
C01B12.8; -1.21343965476,C44B7.10; 0.0813094446342,B0464.2; 1.23429977222
C01F6.9; -1.66348633596,C44B7.11; 0.0606683850165,B0495.2; 0.53294412238
C02B10.2; -1.07552494748,C44E4.3; 0.184022632577,B0495.7; 0.669899056825
C02D5.4; -4.09635225646,C46F11.5; -0.0772741355645,B0511.12; 0.495959540611
C03A3.2; -2.99357676116,C48A7.2; 0.0425131360998,B0511.13; 0.413804790046
C03H5.3; -0.542262100918,C48B6.3; -0.0771584762935,B0511.7; 0.655959409908
C04C3.3; -1.71563713555,C49H3.9; -0.104869579136,B0564.11; 0.54917436932
C04F5.8; -1.50109357353,C53D6.4; -0.191193634444,C01A2.5; 0.735737477863
C05C10.2; -0.679047807446,D1046.3; 0.171688293276,C01F1.1; 0.719938437836
C05C10.5; -0.329680268272,D2005.3; -0.0717670050376,C01F1.6; 3.29800870173
C05D10.1; -1.0423021522,D2085.3; 0.0494528872935,C01G10.8; 1.78329058269
C06A1.8; -0.761942480126,E04D5.1; 0.198139805427,C01G5.6; 0.356487599304
C06A5.3; -1.85450519309,F09G2.9; -0.121671135032,C01G6.3; 1.20419380256
C06A8.2; -0.306947580394,F10E9.4; 0.196336641537,C01G6.4; 1.81535964418
C07H6.2; -0.330223436322,F15C11.2; 0.194137601665,C01G6.5; 1.53878450512
C08B11.3; -1.13007848272,F16D3.4; 0.188945145083,C01G8.6; 1.00228931095
C08B11.6; -2.43809621627,F18A1.8; 0.194367239888,C02F5.13; 3.7844315087
C08B6.7; -0.562810481944,F19F10.12; -0.122582132089,C02F5.6; 3.15800760386
C09G4.4; -1.0189401152,F20D1.1; -0.175702952951,C04B4.2; 0.936420869154
C10G11.7; -1.27461365762,F25B5.6; -0.169299964016,C04G6.4; 3.04407444229
C13F10.2; -10.5996034148,F25H2.4; 0.0232558572029,C05C10.3; 2.28878236313
C13F10.6; -0.497904359652,F25H8.1; 0.102365793797,C05C8.6; 3.66860940043
C13F10.7; -0.382399556184,F26F4.12; 0.102408672728,C05D11.1; 2.21889763248
C14A4.11; -1.31582442207,F32A7.4; -0.132667736164,C05D11.7; 0.622759067148
C14B1.2; -2.60018500126,F33H2.3; -0.0668966501389,C06A6.4; 0.483169841637
C14B1.6; -0.593661692286,F33H2.6; 0.0874287803407,C06A8.1; 2.48513005249
C14B9.10; -0.605477964478,F35C11.5; -0.0676289873089,C06A8.3; 0.819753294899
C14C10.5; -0.359313730323,F38E11.5; -0.0405058293774,C06E2.5; 9.94224158277
C14F11.1; -0.659152386536,F40F8.1; -0.104681556763,C06G1.12; 7.07128723794
C15C6.4; -1.05786044213,F43C11.9; -0.0137924620003,C06G3.8; 1.15178451865
C15C8.7; -1.86503795639,F46H5.3; 0.109254959132,C06G4.1; 1.32765271429
C16C10.2; -5.83434267508,F47B10.1; 0.174279348973,C06H2.3; 0.497029679062
C16C10.3; -0.82098165442,F48A11.4; -0.173193641317,C06H2.6; 1.92296331587
C16C8.4; -2.68839496292,F49C12.12; 0.161889859225,C06H2.7; 0.246751764379
C17E4.10; -0.529179332264,F52B11.2; 0.13825953467,C07A9.2; 1.08588403234
C17E4.11; -1.17144023422,F52E1.13; -0.121024695551,C07D8.6; 0.750980236962
C17E4.6; -1.00720043226,F53C11.5; -0.0243097700074,C07H6.4; 2.31485756132
C17E7.12; -2.90128164143,F54D5.5; -0.155662686222,C08B11.8; 3.96441219943
C17G10.9; -1.61605510381,F54D7.6; 0.149122192128,C08C3.4; 0.437340711002
C18E9.4; -2.64005736801,F55A11.7; 0.182418345298,C08F8.2; 0.296414962566
C18F10.7; -2.14319597357,F55F8.9; -0.155793102858,C08F8.3; 0.577839160734
C23G10.2; -0.331016344193,F56A11.5; 0.189005894779,C08H9.16; 0.821404082416
C23G10.7; -1.16824522148,F56B3.8; 0.159111928673,C08H9.2; 2.69821595551
