Parent Cell - Child Cell, Gene Exp. Increased in Child, Gene Exp. Decreased in Child, Difference (Incr - Decr)
AB - ABa, 3263, 3017, 246
AB - ABal, 3723, 3644, 79
AB - ABala, 4277, 4330, -53
AB - ABalp, 4277, 4330, -53
AB - ABar, 3439, 3841, -402
AB - ABara, 4376, 4255, 121
AB - ABarp, 4376, 4255, 121
AB - ABp, 3219, 3134, 85
AB - ABpl, 3867, 3538, 329
AB - ABpla, 4443, 4122, 321
AB - ABplp, 4443, 4122, 321
AB - ABpr, 3343, 3909, -566
AB - ABpra, 4526, 4127, 399
AB - ABprp, 4526, 4127, 399
ABa - ABal, 3495, 3620, -125
ABa - ABala, 4259, 4178, 81
ABa - ABalp, 4259, 4178, 81
ABa - ABar, 3426, 3740, -314
ABa - ABara, 4275, 4247, 28
ABa - ABarp, 4275, 4247, 28
ABal - ABala, 4476, 3577, 899
ABal - ABalp, 4476, 3577, 899
ABar - ABara, 4431, 3806, 625
ABar - ABarp, 4431, 3806, 625
ABp - ABpl, 3525, 3597, -72
ABp - ABpla, 4441, 3927, 514
ABp - ABplp, 4441, 3927, 514
ABp - ABpr, 3162, 3790, -628
ABp - ABpra, 4544, 3936, 608
ABp - ABprp, 4544, 3936, 608
ABpl - ABpla, 4169, 4023, 146
ABpl - ABplp, 4169, 4023, 146
ABpr - ABpra, 4375, 3667, 708
ABpr - ABprp, 4375, 3667, 708
C - Ca, 3845, 3924, -79
C - Cp, 3845, 3924, -79
E - Ea, 3809, 3993, -184
E - Ep, 3809, 3993, -184
EMS - E, 3385, 4190, -805
EMS - Ea, 3703, 4724, -1021
EMS - Ep, 3703, 4724, -1021
EMS - MS, 3205, 4283, -1078
EMS - MSa, 3945, 4608, -663
EMS - MSp, 3945, 4608, -663
MS - MSa, 4517, 3316, 1201
MS - MSp, 4517, 3316, 1201
P0 - AB, 3075, 3201, -126
P0 - ABa, 3344, 3287, 57
P0 - ABal, 3463, 4022, -559
P0 - ABala, 4268, 4447, -179
P0 - ABalp, 4268, 4447, -179
P0 - ABar, 3656, 3870, -214
P0 - ABara, 4285, 4467, -182
P0 - ABarp, 4285, 4467, -182
P0 - ABp, 3247, 3397, -150
P0 - ABpl, 3655, 3864, -209
P0 - ABpla, 4336, 4372, -36
P0 - ABplp, 4336, 4372, -36
P0 - ABpr, 3247, 4142, -895
P0 - ABpra, 4465, 4327, 138
P0 - ABprp, 4465, 4327, 138
P0 - C, 3618, 3467, 151
P0 - Ca, 3429, 4699, -1270
P0 - Cp, 3429, 4699, -1270
P0 - D, 2383, 4673, -2290
P0 - E, 3394, 4194, -800
P0 - EMS, 3666, 3302, 364
P0 - Ea, 3673, 4709, -1036
P0 - Ep, 3673, 4709, -1036
P0 - MS, 3344, 4230, -886
P0 - MSa, 3904, 4665, -761
P0 - MSp, 3904, 4665, -761
P0 - P1, 3228, 3004, 224
P0 - P2, 2995, 3290, -295
P0 - P3, 3180, 3500, -320
P0 - P4, 2513, 4143, -1630
P1 - AB, 2871, 3036, -165
P1 - C, 3783, 3183, 600
P1 - Ca, 3560, 4390, -830
P1 - Cp, 3560, 4390, -830
P1 - D, 2410, 4380, -1970
P1 - E, 3517, 3892, -375
P1 - EMS, 3613, 3093, 520
P1 - Ea, 3839, 4424, -585
P1 - Ep, 3839, 4424, -585
P1 - MS, 3398, 4000, -602
P1 - MSa, 4082, 4370, -288
P1 - MSp, 4082, 4370, -288
P1 - P2, 2664, 3175, -511
P1 - P3, 3081, 3263, -182
P1 - P4, 2642, 3783, -1141
P2 - C, 3710, 3032, 678
P2 - Ca, 3610, 4226, -616
P2 - Cp, 3610, 4226, -616
P2 - D, 2378, 4194, -1816
P2 - EMS, 3683, 2973, 710
P2 - P3, 2965, 3205, -240
P2 - P4, 2636, 3607, -971
P3 - C, 3529, 3119, 410
P3 - D, 2587, 3498, -911
P3 - P4, 2786, 3204, -418
P4 - D, 2519, 3541, -1022

Total Num Increases, Total Num Decreases
39, 63
