sample,NCBI GEO accession,Usable Quality?,estimated pg mRNA,Number of Genes Detected,Number of Unique Worm Reads,Number of ERCC reads
st411_P0_1-cell_r1,GSM2061813,Yes,150.18,5817,3757986,16702
st413_P0_1-cell_r2,GSM2061814,Yes,219.59,5874,3735893,11355
st415_tossed_1-cell_r3,GSM2061815,No,481.9,5209,2424923,3359
st441_P0_1-cell_r4,GSM2061816,Yes,78.87,5812,3270786,27679
st449_P0_1-cell_r5,GSM2061817,Yes,95.18,5705,3394803,23806
st451_P0_1-cell_r6,GSM2061818,Yes,148.17,5630,2596290,11695
st265_AB_2-cell_r1,GSM2061819,Yes,55.99,5308,2785126,33200
st266_P1_2-cell_r1,GSM2061820,Yes,45.69,4932,2662003,38887
st301_AB_2-cell_r2,GSM2061821,Yes,175.76,5655,1924158,7307
st302_P1_2-cell_r2,GSM2061822,Yes,131.65,5516,1724238,8741
st311_AB_2-cell_r3,GSM2061823,Yes,107.73,5578,1525496,9452
st312_P1_2-cell_r3,GSM2061824,Yes,77.23,5519,1221820,10559
st361_AB_2-cell_r4,GSM2061825,Yes,86.99,5413,2565356,19683
st362_P1_2-cell_r4,GSM2061826,Yes,91.66,5121,2372403,17275
st409_AB_2-cell_r5,GSM2061827,Yes,95.71,5739,2634809,18374
st410_P1_2-cell_r5,GSM2061828,Yes,9.43,5082,1708113,120872
st193_EMS_4-cell_r1,GSM2061829,Yes,41.1,5436,3321794,215759
st194_ABa_4-cell_r1,GSM2061830,Yes,62.78,5630,4071015,173116
st195_ABp_4-cell_r1,GSM2061831,Yes,50.45,5585,1995830,105629
st196_P2_4-cell_r1,GSM2061832,Yes,22.75,4978,1496510,175647
st305_EMS_4-cell_r2,GSM2061833,Yes,88.1,5470,2002249,15169
st306_ABa_4-cell_r2,GSM2061834,Yes,49.79,4971,1824674,24459
st307_ABp_4-cell_r2,GSM2061835,Yes,77.14,4574,2001270,17316
st308_P2_4-cell_r2,GSM2061836,Yes,78,5077,2146322,18367
st333_ABp_4-cell_r3,GSM2061837,Yes,47.03,5091,1675793,23785
st334_ABa_4-cell_r3,GSM2061838,Yes,51.99,5233,1965165,25227
st335_EMS_4-cell_r3,GSM2061839,Yes,41.59,5356,1810297,29054
st336_P2_4-cell_r3,GSM2061840,Yes,30.39,4900,1652266,36290
st363_ABa_4-cell_r4,GSM2061841,Yes,30.74,4797,2391583,51925
st364_EMS_4-cell_r4,GSM2061842,Yes,20.13,4308,2382665,79017
st365_ABp_4-cell_r4,GSM2061843,Yes,29.29,4285,2262175,51543
st366_P2_4-cell_r4,GSM2061844,Yes,16.06,3991,1841352,76524
st405_ABp_4-cell_r5,GSM2061845,Yes,16.17,4822,2187606,90314
st406_EMS_4-cell_r5,GSM2061846,Yes,19.44,4994,2300754,78996
st407_ABa_4-cell_r5,GSM2061847,Yes,23.22,5063,2291475,65867
st408_P2_4-cell_r5,GSM2061848,Yes,34.14,5031,2353966,46027
st225_ABpl_8-cell_r1,GSM2061849,Yes,49.86,4688,1699258,22748
st226_ABal_8-cell_r1,GSM2061850,Yes,15.35,3876,563566,24503
st227_ABar_8-cell_r1,GSM2061851,Yes,10.17,3525,1162204,76241
st228_ABpr_8-cell_r1,GSM2061852,Yes,12.28,2815,1037858,56389
st229_MS_8-cell_r1,GSM2061853,No,0.36,1064,113159,209652
st230_C_8-cell_r1,GSM2061854,Yes,11.87,3836,1508247,84810
st231_E_8-cell_r1,GSM2061855,Yes,25.82,3950,1621606,41919
st232_P3_8-cell_r1,GSM2061856,Yes,44.66,3829,1540566,23022
st337_ABal_8-cell_r2,GSM2061857,Yes,18.16,4564,1904022,69964
st338_ABar_8-cell_r2,GSM2061858,Yes,20.77,4513,1701702,54682
st339_ABpr_8-cell_r2,GSM2061859,Yes,19.38,4145,1489344,51291
st340_ABpl_8-cell_r2,GSM2061860,Yes,22.66,4512,1974010,58133
st341_C_8-cell_r2,GSM2061861,Yes,30.15,4854,2200790,48726
st342_MS_8-cell_r2,GSM2061862,Yes,18,4271,1463329,54267
st343_E_8-cell_r2,GSM2061863,Yes,15.91,4213,1303935,54698
st344_P3_8-cell_r2,GSM2061864,Yes,21.91,4331,1469923,44769
st369_ABpr_8-cell_r3,GSM2061865,Yes,17.97,3793,1693564,62891
st370_ABal_8-cell_r3,GSM2061866,Yes,12.9,3132,1663328,86034
st371_ABpl_8-cell_r3,GSM2061867,Yes,23.97,3696,1810178,50410
st372_ABar_8-cell_r3,GSM2061868,Yes,25.62,3934,1752337,45656
st373_C_8-cell_r3,GSM2061869,Yes,26.4,3982,2207244,55809
st374_MS_8-cell_r3,GSM2061870,Yes,14.89,3740,1888416,84635
st375_E_8-cell_r3,GSM2061871,Yes,14.52,3054,1267815,58290
st376_P3_8-cell_r3,GSM2061872,Yes,5.84,3294,1230571,140752
st393_ABar_8-cell_r4,GSM2061873,Yes,21.97,4961,2065377,62760
st394_ABpl_8-cell_r4,GSM2061874,Yes,11.14,4526,1839262,110186
st395_ABpr_8-cell_r4,GSM2061875,Yes,33.46,4461,2293604,45750
st396_ABal_8-cell_r4,GSM2061876,Yes,26.1,4747,2177706,55688
st397_C_8-cell_r4,GSM2061877,Yes,14.4,4636,2133860,98901
st398_E_8-cell_r4,GSM2061878,Yes,12.08,4378,1853350,102381
st399_MS_8-cell_r4,GSM2061879,Yes,5.14,2443,1077433,139926
st400_P3_8-cell_r4,GSM2061880,Yes,8.37,4103,1734079,138284
st417_tossed_8-cell_r5,GSM2061881,No,0.07,2160,31796,305970
st418_tossed_8-cell_r5,GSM2061882,No,0.02,1150,9969,333160
st419_tossed_8-cell_r5,GSM2061883,No,1.2,3772,481699,267375
st420_tossed_8-cell_r5,GSM2061884,No,0.54,3631,235711,290991
st421_tossed_8-cell_r5,GSM2061885,No,1.34,3751,578587,288692
st422_tossed_8-cell_r5,GSM2061886,No,1.03,3276,447884,289193
st423_tossed_8-cell_r5,GSM2061887,No,0.12,2347,62485,342488
st424_tossed_8-cell_r5,GSM2061888,No,0.52,3551,193964,251199
st481_ABpr_8-cell_r6,GSM2061889,Yes,29.2,4156,2214892,50626
st482_ABar_8-cell_r6,GSM2061890,Yes,13.39,3533,1776258,88527
